Source,Target,Type,Weight
19,338,unweighted,1
19,339,unweighted,1
19,340,unweighted,1
19,341,unweighted,1
19,342,unweighted,1
19,343,unweighted,1
19,344,unweighted,1
19,345,unweighted,1
19,346,unweighted,1
19,347,unweighted,1
19,348,unweighted,1
19,349,unweighted,1
19,350,unweighted,1
19,351,unweighted,1
19,352,unweighted,1
19,353,unweighted,1
19,354,unweighted,1
19,355,unweighted,1
19,356,unweighted,1
20,357,unweighted,1
20,358,unweighted,1
20,359,unweighted,1
20,360,unweighted,1
20,361,unweighted,1
20,362,unweighted,1
20,363,unweighted,1
20,207,unweighted,1
20,364,unweighted,1
20,365,unweighted,1
20,320,unweighted,1
20,366,unweighted,1
20,367,unweighted,1
20,368,unweighted,1
20,369,unweighted,1
20,370,unweighted,1
20,371,unweighted,1
20,372,unweighted,1
20,373,unweighted,1
20,374,unweighted,1
20,375,unweighted,1
20,13,unweighted,1
20,376,unweighted,1
20,377,unweighted,1
20,378,unweighted,1
20,379,unweighted,1
20,380,unweighted,1
20,381,unweighted,1
20,382,unweighted,1
20,383,unweighted,1
20,384,unweighted,1
20,385,unweighted,1
20,386,unweighted,1
20,387,unweighted,1
20,388,unweighted,1
20,389,unweighted,1
20,390,unweighted,1
20,391,unweighted,1
20,392,unweighted,1
20,393,unweighted,1
21,394,unweighted,1
21,395,unweighted,1
21,396,unweighted,1
21,397,unweighted,1
21,398,unweighted,1
21,399,unweighted,1
21,400,unweighted,1
21,401,unweighted,1
21,402,unweighted,1
21,403,unweighted,1
21,404,unweighted,1
21,405,unweighted,1
21,406,unweighted,1
21,407,unweighted,1
21,408,unweighted,1
21,409,unweighted,1
21,410,unweighted,1
21,327,unweighted,1
21,411,unweighted,1
21,412,unweighted,1
21,413,unweighted,1
21,383,unweighted,1
21,414,unweighted,1
21,415,unweighted,1
21,416,unweighted,1
21,417,unweighted,1
21,418,unweighted,1
21,419,unweighted,1
21,420,unweighted,1
21,421,unweighted,1
21,422,unweighted,1
21,423,unweighted,1
21,424,unweighted,1
21,425,unweighted,1
21,426,unweighted,1
21,427,unweighted,1
21,428,unweighted,1
21,429,unweighted,1
21,298,unweighted,1
21,430,unweighted,1
22,431,unweighted,1
22,432,unweighted,1
22,433,unweighted,1
22,434,unweighted,1
22,435,unweighted,1
22,436,unweighted,1
22,437,unweighted,1
22,438,unweighted,1
22,206,unweighted,1
22,439,unweighted,1
22,440,unweighted,1
22,441,unweighted,1
22,442,unweighted,1
22,443,unweighted,1
22,444,unweighted,1
22,362,unweighted,1
22,445,unweighted,1
22,446,unweighted,1
22,447,unweighted,1
22,448,unweighted,1
22,449,unweighted,1
22,450,unweighted,1
22,390,unweighted,1
22,451,unweighted,1
22,452,unweighted,1
22,453,unweighted,1
22,454,unweighted,1
22,455,unweighted,1
22,456,unweighted,1
22,457,unweighted,1
22,458,unweighted,1
22,459,unweighted,1
22,460,unweighted,1
22,461,unweighted,1
22,462,unweighted,1
22,298,unweighted,1
22,324,unweighted,1
22,463,unweighted,1
22,464,unweighted,1
22,465,unweighted,1
23,466,unweighted,1
23,467,unweighted,1
23,468,unweighted,1
23,469,unweighted,1
23,470,unweighted,1
23,471,unweighted,1
23,472,unweighted,1
23,473,unweighted,1
23,474,unweighted,1
23,475,unweighted,1
23,476,unweighted,1
23,477,unweighted,1
23,478,unweighted,1
23,479,unweighted,1
23,480,unweighted,1
23,481,unweighted,1
23,482,unweighted,1
23,483,unweighted,1
23,484,unweighted,1
23,485,unweighted,1
23,486,unweighted,1
23,487,unweighted,1
23,488,unweighted,1
23,489,unweighted,1
23,490,unweighted,1
23,491,unweighted,1
23,492,unweighted,1
23,493,unweighted,1
23,494,unweighted,1
23,495,unweighted,1
23,496,unweighted,1
23,497,unweighted,1
23,498,unweighted,1
23,499,unweighted,1
23,500,unweighted,1
23,501,unweighted,1
23,502,unweighted,1
23,503,unweighted,1
23,504,unweighted,1
23,505,unweighted,1
24,506,unweighted,1
24,507,unweighted,1
24,508,unweighted,1
24,509,unweighted,1
24,510,unweighted,1
24,511,unweighted,1
24,512,unweighted,1
24,513,unweighted,1
24,514,unweighted,1
24,515,unweighted,1
24,516,unweighted,1
24,517,unweighted,1
24,518,unweighted,1
24,519,unweighted,1
24,520,unweighted,1
24,521,unweighted,1
24,522,unweighted,1
24,523,unweighted,1
24,524,unweighted,1
25,525,unweighted,1
25,526,unweighted,1
25,527,unweighted,1
25,528,unweighted,1
25,529,unweighted,1
26,530,unweighted,1
26,531,unweighted,1
26,532,unweighted,1
26,533,unweighted,1
26,534,unweighted,1
26,535,unweighted,1
26,536,unweighted,1
26,537,unweighted,1
26,538,unweighted,1
26,539,unweighted,1
26,540,unweighted,1
26,541,unweighted,1
26,542,unweighted,1
26,543,unweighted,1
26,544,unweighted,1
26,545,unweighted,1
26,546,unweighted,1
26,547,unweighted,1
26,548,unweighted,1
26,549,unweighted,1
26,550,unweighted,1
26,551,unweighted,1
26,552,unweighted,1
26,553,unweighted,1
26,554,unweighted,1
26,555,unweighted,1
26,556,unweighted,1
26,557,unweighted,1
26,558,unweighted,1
26,559,unweighted,1
26,560,unweighted,1
26,561,unweighted,1
